F ( landmark_1 ) & G ( second_floor )
F ( landmark_1 & F ( red_room ) )
F ( green_room & F ( first_floor ) )
F ( second_floor ) & ~ ( blue_room )
F ( first_floor )
F ( landmark_1 & F ( red_room ) )
F ( landmark_1 & F ( first_floor ) )
~ ( landmark_1 ) U ( red_room )
F ( second_floor & F ( yellow_room ) )
~ ( landmark_1 ) U ( landmark_2 )
F ( green_room ) & ~ ( landmark_1 )
F ( landmark_2 )
~ ( red_room ) U ( second_floor )
F ( blue_room & F ( red_room ) )
F ( first_floor & F ( landmark_2 ) )
F ( landmark_1 & F ( red_room ) )
F ( landmark_1 & F ( landmark_2 ) )
F ( green_room & F ( first_floor ) )
F ( landmark_2 ) & ~ ( landmark_1 )
F ( green_room ) & ~ ( landmark_1 )
F ( landmark_1 ) & G ( second_floor )
F ( first_floor & F ( landmark_2 ) )
~ ( landmark_1 ) U ( red_room )
F ( yellow_room )
~ ( landmark_1 ) U ( landmark_2 )
F ( landmark_2 )
F ( blue_room & F ( red_room ) )
~ ( landmark_2 ) U ( first_floor )
~ ( landmark_1 ) U ( red_room )
~ ( landmark_1 ) U ( landmark_2 )
F ( red_room ) & G ( first_floor )
F ( third_floor ) & ~ ( landmark_2 )
F ( landmark_1 & F ( landmark_2 ) )
F ( landmark_2 ) & ~ ( landmark_1 )
F ( landmark_1 ) & ~ ( blue_room )
F ( landmark_2 ) & ~ ( landmark_1 )
F ( landmark_2 ) & ~ ( landmark_1 )
F ( landmark_1 & F ( first_floor ) )
F ( landmark_1 & F ( first_floor ) )
F ( landmark_2 ) & ~ ( landmark_1 )
F ( landmark_2 )
F ( landmark_1 & F ( landmark_2 ) )
F ( green_room & F ( first_floor ) )
F ( first_floor )
F ( first_floor & F ( landmark_2 ) )
F ( green_room ) & ~ ( landmark_1 )
F ( landmark_1 & F ( red_room ) )
F ( second_floor ) & ~ ( blue_room )
F ( landmark_1 ) & G ( green_room )
F ( landmark_1 ) & ~ ( blue_room )
F ( red_room ) & G ( first_floor )
F ( first_floor )
F ( first_floor )
F ( blue_room & F ( red_room ) )
F ( purple_room & F ( landmark_1 ) )
F ( first_floor & F ( landmark_2 ) )
~ ( blue_room ) U ( landmark_1 )
F ( landmark_1 ) & ~ ( blue_room )
F ( red_room ) & G ( first_floor )
